url_a,url_b,label,language,category,subcategory,depth,lastmod,changefreq,priority,path
https://info.at23.altinn.cloud/en/about-altinn/,https://inte.info.altinn.no/en/about-altinn/,en/about-altinn,en,about-altinn,,2,2017-06-06T08:45:18+00:00,weekly,0.8,/en/about-altinn/
https://info.at23.altinn.cloud/en/about-altinn/accessibility/,https://inte.info.altinn.no/en/about-altinn/accessibility/,about-altinn/accessibility,en,about-altinn,accessibility,3,2026-03-25T08:18:16+00:00,weekly,0.7,/en/about-altinn/accessibility/
https://info.at23.altinn.cloud/en/about-altinn/privacy/,https://inte.info.altinn.no/en/about-altinn/privacy/,about-altinn/privacy,en,about-altinn,privacy,3,2026-04-13T06:33:47+00:00,weekly,0.7,/en/about-altinn/privacy/
https://info.at23.altinn.cloud/en/about-altinn/service-announcements/,https://inte.info.altinn.no/en/about-altinn/service-announcements/,about-altinn/service-announcements,en,about-altinn,service-announcements,3,2017-09-06T08:31:24+00:00,weekly,0.7,/en/about-altinn/service-announcements/
https://info.at23.altinn.cloud/en/about-altinn/the-altinn-co-operation/,https://inte.info.altinn.no/en/about-altinn/the-altinn-co-operation/,about-altinn/the-altinn-co-operation,en,about-altinn,the-altinn-co-operation,3,2024-05-31T07:27:04+00:00,weekly,0.7,/en/about-altinn/the-altinn-co-operation/
https://info.at23.altinn.cloud/en/about-altinn/what-is-altinn/,https://inte.info.altinn.no/en/about-altinn/what-is-altinn/,about-altinn/what-is-altinn,en,about-altinn,what-is-altinn,3,2022-06-15T06:20:53+00:00,weekly,0.7,/en/about-altinn/what-is-altinn/
